Player,Year,Position,GP,TOI,G,A,P,g-adj,a-adj,p-adj,P1,trend_next,trend_cur,P/60,P1/60,GS,GS/60,CF,CA,C+/-,CF%,Rel CF%,GF,GA,G+/-,GF%,Rel GF%,xGF,xGA,xG+/-,xGF%,Rel xGF%,iPENT,iPEND,iP+/-,iCF,iCF/60,ixGF,ixGF/60,iSh%,PDO,ZSR,TOI%,TOI% QoT,CF% QoT,TOI% QoC,CF% QoC
ADAM.BURISH,2010,R,63,744,7,6,13,9.111111111,7.80952381,16.92063492,10,1,0,1.05,0.81,9.98,0.81,583,716,-133,44.88,-2.57,23,23,0,50,-4.24,21.58,25.12,-3.54,46.21,-2,24,16,-8,130,10.49,6.67,0.54,8.54,100.77,31.83,25.78,29.27,48.3,29.08,50.13
ADAM.BURISH,2011,R,65,686,5,10,15,6.307692308,12.61538462,18.92307692,11,0,1,1.31,0.96,16.22,1.42,611,623,-12,49.51,0.47,21,21,0,50,2.38,20.1,22.21,-2.11,47.51,0.31,15,15,0,125,10.93,5.99,0.52,6.76,100.47,42.89,22.39,28.87,50.55,28.5,49.93
ADAM.BURISH,2012,R,46,418,0,2,2,0,3.565217391,3.565217391,1,0,0,0.29,0.14,0.33,0.05,339,430,-91,44.08,-9.2,4,10,-6,28.57,-22.54,12.36,14.97,-2.61,45.23,-10.8,8,12,4,69,9.9,2.94,0.42,0,97.86,39.46,19,27.88,50.25,27.31,49.29
ADAM.CRACKNELL,2016,R,69,676,9,6,15,10.69565217,7.130434783,17.82608696,12,0,0,1.33,1.07,21.03,1.87,668,642,26,50.99,1.63,26,20,6,56.52,8.76,24.12,25.29,-1.17,48.82,-0.73,5,11,6,157,13.93,6.51,0.58,11.54,101.36,50.14,20.22,28.01,48.67,27.98,49.74
ADAM.ERNE,2018,L,65,631,5,12,17,6.307692308,15.13846154,21.44615385,10,0,0,1.62,0.95,15.19,1.44,533,574,-41,48.15,-3.48,28,20,8,58.33,2.97,20.88,19.72,1.16,51.43,0.97,13,8,-5,123,11.69,5.18,0.49,8.33,103.3,43.03,20.28,27.76,50.68,27.82,49.7
ADAM.HALL,2008,R,74,622,4,4,8,4.432432432,4.432432432,8.864864865,7,1,0,0.77,0.67,11.26,1.09,478,522,-44,47.8,0.17,12,19,-7,38.71,-9.88,20.44,21.53,-1.09,48.7,0.9,6,17,11,130,12.54,6.36,0.61,5,97.83,34.44,19.19,27.88,46.4,28.31,49.67
ADAM.HALL,2010,R,82,938,7,7,14,7,7,14,13,0,1,0.9,0.83,23.49,1.5,770,780,-10,49.68,-2.84,23,35,-12,39.66,-14,34.93,25.06,9.87,58.23,3.48,10,19,9,232,14.84,13.07,0.84,4.49,95.59,41.83,24.99,28.23,50.75,29.1,50.02
ADAM.HALL,2012,R,37,308,0,3,3,0,6.648648649,6.648648649,2,0,0,0.58,0.39,0.28,0.05,193,292,-99,39.79,-7.83,6,8,-2,42.86,-7.88,7.46,9.77,-2.31,43.3,-2.83,4,6,2,47,9.15,2.1,0.41,0,99.91,15.66,17.41,26.98,47.84,28.11,50.29
ADAM.HENRIQUE,2011,C,74,"1,050",10,21,31,11.08108108,23.27027027,34.35135135,20,0,0,1.77,1.14,33.96,1.94,852,804,48,51.45,1.28,45,42,3,51.72,4.7,38.26,30.32,7.94,55.79,5.61,1,13,12,133,7.6,9.26,0.53,10.64,100.06,46.88,29.42,31.71,50.68,29.75,49.9
ADAM.HENRIQUE,2012,C,42,543,5,3,8,9.761904762,5.857142857,15.61904762,8,1,0,0.88,0.88,16.18,1.79,501,378,123,57,0.26,16,18,-2,47.06,2,19.05,14.84,4.21,56.21,1.41,7,7,0,91,10.05,5.58,0.62,9.62,98.16,47.47,27.4,30.26,56.04,29.33,49.14
ADAM.HENRIQUE,2013,C,77,990,14,8,22,14.90909091,8.519480519,23.42857143,18,1,1,1.33,1.09,28.42,1.72,825,739,86,52.75,-2.18,33,36,-3,47.83,1.16,37.39,30.16,7.23,55.35,0.09,6,14,8,156,9.45,11.51,0.7,15.22,99.23,51.74,26.97,29.55,54.6,29.16,49.6
ADAM.HENRIQUE,2014,C,75,988,10,12,22,10.93333333,13.12,24.05333333,17,1,1,1.34,1.03,16.74,1.02,796,941,-145,45.83,-1.26,34,36,-2,48.57,1.31,35.91,37.5,-1.59,48.92,3.18,10,7,-3,178,10.81,9.98,0.61,9.8,101.22,45.96,27.28,29.65,47.92,28.84,50.06
ADAM.HENRIQUE,2015,C,80,"1,061",18,11,29,18.45,11.275,29.725,19,0,1,1.64,1.07,22.61,1.28,738,881,-143,45.58,-0.48,46,37,9,55.42,14.63,36.1,34.76,1.34,50.95,5.29,8,10,2,161,9.11,10.99,0.62,17.65,103.19,50.7,28.07,30.49,47.42,29.38,50.03
ADAM.HENRIQUE,2016,C,82,"1,026",10,13,23,10,13,23,17,1,0,1.35,0.99,18.13,1.06,865,980,-115,46.88,-1.3,35,45,-10,43.75,0.58,36.22,41.07,-4.85,46.86,-1.3,13,14,1,177,10.35,10.64,0.62,10.1,99.26,48.21,26.09,29.41,48.14,29.25,50.27
ADAM.HENRIQUE,2017,C,81,"1,023",13,12,25,13.16049383,12.14814815,25.30864198,20,0,1,1.47,1.17,25.65,1.5,947,1018,-71,48.19,-0.87,39,25,14,60.94,7.69,40,41.72,-1.72,48.95,-1.18,6,9,3,171,10.03,11.08,0.65,13.83,103.21,46.32,26.27,29.69,48.94,28.62,49.74
